CurrencyName,CurrencyCode,Current Rate,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,Jun 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020
Argentine Peso,ARS,67.957686,60.749075,57.315401,55.9441,54.59319,52.602789,50.595142,48.590437,46.938642,44.976077,44.588888,44.126843,44.430854
Australian Dollar,AUD,0.952827,1.01591,1.043052,1.020789,0.997294,1.018643,1.037306,1.047147,1.099748,1.141244,1.100554,1.094819,1.057535
Bahraini Dinar,BHD,0.280178,0.280936,0.275165,0.275891,0.27648,0.273514,0.269788,0.267104,0.265438,0.262053,0.26986,0.275475,0.279167
Botswana Pula,BWP,8.219802,8.242346,8.357398,8.526925,8.493596,8.316577,8.457832,8.410797,8.628791,8.344478,7.951424,7.943884,7.919546
Brazilian Real,BRL,4.161662,3.933616,4.202936,4.144859,3.939881,3.794887,3.840221,3.81572,3.876176,3.655745,3.212794,3.137627,2.984350
Bruneian Dollar,BND,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000
Bulgarian Lev,BGN,1.218782,1.213949,1.225805,1.221174,1.203807,1.20833,1.246312,1.249133,1.255465,1.246545,1.273294,1.291774,1.297016
Canadian Dollar,CAD,0.924484,0.967937,0.975147,0.975344,0.95926,0.975798,0.974429,0.966422,0.995752,0.990792,0.96185,0.969758,0.963955
Chilean Peso,CLP,540.602808,568.247418,565.944734,577.255579,567.03327,550.544379,585.103873,563.150131,589.877443,601.386085,586.958775,586.271383,548.966238
Chinese Yuan Renminbi,CNY,4.840117,4.91079,4.897695,4.982907,5.021092,5.0738,5.073759,5.063447,4.985107,4.948647,5.017551,5.081938,5.171986
Colombian Peso,COP,2660.811457,2650.811776,2832.428228,2825.600436,2705.739811,2715.432013,2673.404221,2637.601291,2797.624159,2841.160459,2525.860617,2503.982953,2440.573395
Croatian Kuna,HRK,4.722217,4.686848,4.754998,4.722179,4.633127,4.606232,4.821738,4.84691,4.886521,4.861488,4.878453,4.916036,4.929271
Czech Koruna,CZK,16.255916,16.304598,17.10631,16.772173,16.136029,16.209665,16.967534,17.079432,17.467363,17.566383,16.573914,16.659591,16.840496
Danish Krone,DKK,4.633773,4.621008,4.680621,4.647702,4.58187,4.601845,4.749037,4.76167,4.788593,4.75708,4.864119,4.936069,4.957656
Euro,EUR,0.623153,0.620682,0.626744,0.624376,0.615497,0.617809,0.637229,0.638671,0.641909,0.637348,0.651025,0.660474,0.663154
Hong Kong Dollar,HKD,5.785967,5.792124,5.673102,5.686713,5.698896,5.63783,5.561354,5.506335,5.47269,5.403832,5.594386,5.688362,5.797364
Hungarian Forint,HUF,228.444881,221.233593,230.199812,224.092038,218.96884,212.45786,225.178868,220.241711,227.164104,231.307712,220.031846,222.68018,219.261228
Icelandic Krona,ISK,94.44782,98.069241,103.261874,101.307593,101.136712,98.821887,99.277583,96.437298,102.237587,99.506527,90.931658,90.115714,89.917102
Indian Rupee,INR,53.97917,54.932936,54.568579,53.687583,53.698858,54.513427,54.185798,53.670394,53.433402,53.237625,51.801609,52.409286,52.987598
Indonesian Rupiah,IDR,10729.82537,10563.182969,10751.732026,10889.345261,10752.174582,10661.131927,10273.091099,10383.472701,10579.199702,11508.304151,10217.920517,10016.048865,10314.758949
Iranian Rial,IRR,31315.378761,31364.745369,30755.066179,30906.970964,30865.742485,30570.28586,30217.926124,29900.833037,29461.572033,29157.399982,30162.149516,30787.172165,31258.565560
Israeli Shekel,ILS,2.449833,2.458212,2.494782,2.514133,2.469156,2.479369,2.47549,2.48345,2.475537,2.51076,2.493125,2.528657,2.567222
Japanese Yen,JPY,81.197987,78.014224,76.717696,77.434775,77.938729,77.037618,77.130847,76.418658,75.38224,74.600972,77.575898,79.399213,81.299906
Kazakhstani Tenge,KZT,312.45998,318.091303,316.704315,315.172583,307.574285,306.540979,292.001176,292.771847,300.767507,313.490964,274.062586,277.944803,283.506642
South Korean Won,KRW,838.224837,827.429374,831.855859,853.512863,871.966855,868.156792,862.346448,869.757075,863.897117,858.88902,861.500407,875.442662,857.657698
Kuwaiti Dinar,KWD,0.224955,0.227913,0.224377,0.22438,0.224514,0.222741,0.220773,0.218913,0.21844,0.217726,0.219969,0.222541,0.225129
Libyan Dinar,LYD,3.34975,1.009166,0.998645,1.007379,1.00526,0.999687,1.004329,1.005268,1.002024,0.989419,1.013349,1.028307,1.039060
