post_date,tweets
Mar 19,"'Before making an online money transfer, make sure you know how to spot a potential scam.\n#Xe #Blog #MoneyBlog #Currency #Exchangerates #BeSafe\nhttps://xe.com/blog/money-transfer/how-to-avoid-getting-scammed-when-sending-money-overseas/…'"
Mar 19,"'What to Know About Transferring Money to Yourself?\nFor many people, money transfer is a convenient, secure, and cost-effective way to exchange currencies for their own use. \n\n#Xe #sendmoney #Exchangerate #Currencies #learnmore\nhttps://xe.com/blog/money-transfer/what-to-know-about-transferring-money-to-yourself/…'"
Mar 17,"""In a pinch? You're in luck—you can enjoy fast transfers and great rates when you send money this #StPatricksDay\n\nGet the Xe app now to send money: https://xeapp.onelink.me/QBTb/63377d56"""
Mar 15,"'Did you know with the Xe App you can send money globally, anytime, anywhere?\nJust one click and you’ll receive your transfer quote.\nNo extra steps. No third parties. No more time-wasting.\n\nGet the App here: https://xeapp.onelink.me/QBTb/63377d56\n#Xe #XeApp #Sendmoney #Currencies #Exchangerate'"
Mar 14,"""We'd like to wish a happy Mother's Day to all of you in the UK.\n(And if you're not in the UK, you can relax—you've still got a couple of months!)\n\n#MothersDay2021 #UK #Xe #MothersDay"""
Mar 12,"'Last month, every 5 minutes a new customer sent money with Xe.\n8,000+ people trusted Xe with their first transfer in February.\n(Go ahead, test our math out for yourselves!) \n#Xe #FabFeb #SendMoney #Moneytransfer #Currency #ExchangeRates\nhttps://xeapp.onelink.me/QBTb/63377d56'"
Mar 11,"'How can exchange rate movements affect your business?\nIf your business works with international currencies, your business could be impacted by exchange rate movements, find out more in our blog. #Xe #Business #SendMoney #Exchangerate #Currencies'"
Mar 8,"""This International Women’s Day, we want to put a spotlight on some of the women of Xe. We’d like to thank them for helping us in powering international women to manage their global money transfers.\nHappy International Women's Day from Xe!\n#Xe #InternationalWomensDay #WomensDay"""
Mar 4,"""Why do we ask for your SSN and other personal details?\nOur customers' safety and security is our top priority. Here's what we do to ensure that our money transfers are secure. \n#xe #moneytransfer #SSN #Security #bankbeating"""
Feb 25,"'Did you know that alongside our ATM business, Euronet also has other segments that are able to accept and distribute funds for virtually any digital or cash transaction on a global scale? @epay_uk @RiaFinancial & @xe are all available services. Visit:'"
